IMO Number;Name;Total fuel consumption [m tonnes];Total CO₂ emissions [m tonnes];Fuel consumption per distance [kg / n mile];CO₂ emissions per distance [kg CO₂ / n mile];;
6703343;EQUALITY;373.5;1184.62;70.25;222.8;;
7037806;IONIAN STAR;1902;6097.81;82.04;263.01;;
7043843;TALOS;2081.79;6674.22;57.72;185.05;;
7128332;SEA WIND;3299.89;10454.38;93.47;296.12;;
7226952;FJARDVAGEN;1670.56;5355.81;49.13;157.51;;
7230599;MARKO POLO;3170.21;10163.69;116.24;372.65;;
7310507;FIDELITY;860.3;2720.3;52.6;166.32;;
7325095;LAMPEDUSA;1829.99;5866.95;111.85;358.58;;
7346221;SUPERFERRY II;6413.11;20072.86;132.45;414.57;;
7349039;CORSICA MARINA SECONDA;3450.4;10986.29;104.84;333.82;;
7350090;MOBY NIKI;2538.8;8019.53;118.43;374.1;;
7358755;MOBY KISS;2415.88;7610.02;127.19;400.63;;
7360605;MOBY VINCENT;2026.19;6378.12;128.55;404.65;;
7360681;MOBY BABY TWO;2288.08;7199.88;112.21;353.09;;
7361312;MOBY DREA;4606.31;14445.05;283.92;890.35;;
7361324;MOBY OTTA;8301.41;25980.3;223.16;698.42;;
7382378;GIUSEPPE SA;431.64;1378.8;642.32;2051.79;;
7407324;ELEVATION;2875.4;9070.51;102.04;321.9;;
7422881;YEOMAN BANK;3536.66;11124.22;93.06;292.7;;
7426045;KEFALONIA;3139.21;9928.86;97.45;308.23;;
7504598;BADER III;1600;4995.93;127.19;397.13;;
7516773;GALAXY;1718.08;5438.08;77.88;246.5;;
7527306;BOI BRANCO;1657.59;5237.88;49.36;155.96;;
7528611;PELAGITIS;6217.6;19647.51;114.9;363.09;;
7529976;GEROITE NA SEVASTOPOL;0;0;Division by zero!;Division by zero!;;
7602089;AF FRANCESCA;3818.55;12242.27;153.27;491.38;;
7602120;AURELIA;4462.08;14305.42;158.33;507.6;;
7615048;DUBROVNIK;2825.91;9059.87;115.4;369.99;;
7615414;MOBY CORSE;6720.81;21075.24;142.8;447.78;;
7622041;ZEIN I;1215.5;3810.51;106.46;333.76;;
7633143;POVL ANKER;1382.47;4432.2;141.18;452.63;;
7633155;ECKERO;4098.03;13138.3;92.83;297.6;;
7633375;SUNNANVIK;4067.54;12935.59;61.52;195.64;;
7719430;MOROCCO SUN;2766.98;8870.94;107.41;344.36;;
7724265;IOSIF K;4805.59;15406.72;82.91;265.82;;
7802067;FESTIVO;819.05;2625.87;45.41;145.58;;
7803190;MOROCCO STAR;4981.59;15623.57;147.82;463.59;;
7803205;KRONPRINS FREDERIK;1570;5033.42;152.95;490.35;;
7807744;RIGEL III;4807.98;15399.21;138.64;444.05;;
7814046;KRITI I;11118.44;34896.66;181.81;570.63;;
7814462;WAWEL;10870.63;34450.71;130.12;412.39;;
7825978;PHIVOS;1309.63;4198.68;70.76;226.86;;
7826788;RIGEL II;3596.18;11522.31;193.83;621.05;;
7826790;GNV AZZURRA;1161.96;3671.87;186.36;588.91;;
7826855;URD;6340.75;19991.82;77.81;245.32;;
7826867;STENA GOTHICA;7274.47;22933.31;81.14;255.79;;
7827213;CELESTYAL CRYSTAL;2535.58;7945.53;210.93;660.97;;
7827225;REGINA BALTICA;8955.55;28540.72;151.46;482.69;;
7901265;ROSELLA;6389;20472.02;118.98;381.23;;
7901760;STENA EUROPE;6608.18;21185.82;114.49;367.04;;
7907245;STENA DANICA;9778.32;31349.3;155.34;498.02;;
7907659;STENA VISION;18902.18;59764.77;167.82;530.6;;
7907661;STENA SPIRIT;16410.46;51886.86;153;483.76;;
7911533;MOBY DADA;8412.26;26410.58;228.09;716.08;;
7911545;SAGA;3272.64;10426.17;225.66;718.91;;
7927984;CELESTYAL OLYMPIA;2935.02;9185.35;214.02;669.79;;
7928811;ALMARIYA;467.67;1473.84;148.42;467.74;;
7931454;EAGLE;2562;8005.36;143.72;449.06;;
7931985;VICTORY;249.9;790.98;57.45;181.83;;
7931997;BALTIVIA;6213.63;19692.88;134.65;426.75;;
8000226;WASA EXPRESS;4922.86;15782.69;109.47;350.96;;
8000836;KUBROSLI Y;791.4;2537.23;54.89;175.98;;
8001024;CSL ELBE;2339.97;7501.94;58.4;187.23;;
8009076;GULF LIVESTOCK 2;2701.88;8493.66;75.98;238.85;;
8009545;SIRIOS CEMENT I;0;0;Division by zero!;Division by zero!;;
8019368;VESTERALEN;4096.69;13133.98;48.13;154.32;;
8020599;AKRITAS;6818.42;21656.67;94.18;299.13;;
8020642;MOBY ZAZA';3103.72;9907.29;199.52;636.88;;
8020927;PREVELIS;6583.57;20624.85;87.35;273.63;;
8025343;SUPER SERVANT 4;7700;24063.91;108.58;339.32;;
8027573;ZEKO Y;150.2;481.54;48.45;155.34;;
8030283;AVIVA;1461.03;4627.7;55.15;174.7;;
8105404;RAMA H;760;2405.76;59.1;187.08;;
8110681;BONTRUP AMSTERDAM;3459.15;11058.22;91.53;292.62;;
8116972;LILY-HA;104;326.71;34.63;108.79;;
8124785;DEVELOPMENT WAY;1066.2;3326.47;95.83;298.98;;
8125454;ARAL;1245.47;3940.89;44.07;139.44;;
8200577;ATLANTIC M;911.6;2887.36;48.73;154.34;;
8201480;ARTANIA;7182.53;23027.19;195.54;626.91;;
8201624;MSC IRIS;1272.04;4032.18;130.17;412.61;;
8201636;MSC MALIN;5311.05;16815.81;104.33;330.33;;
8201648;MSC EYRA;5129.74;16261.07;100.83;319.63;;
8202018;IRON DESTINY;165.69;531.2;387.76;1243.15;;
8202525;SEA DOVE;500.1;1581.05;70.27;222.16;;
8203660;VALMIERA;64.6;204.44;51.14;161.83;;
8204250;NABOLSI;2901;9168.49;75.69;239.23;;
8204731;KIVELI;611.86;1935.88;114.11;361.04;;
8207381;MY ROSE;1096.6;3515.7;48.67;156.04;;
8208763;POETA LOPEZ ANGLADA;6164.73;19347.27;163.96;514.56;;
8209626;SEA GLORY;324;1025.87;43.73;138.47;;
8214889;HAK;0;0;Division by zero!;Division by zero!;;
8219906;SCILLA;2211.83;7091.13;202.79;650.14;;
8219918;VILLA;2471.27;7922.88;193.2;619.39;;
8300169;SLAVYANIN;1135.78;3555.58;65.95;206.46;;
8303989;GHENA;812;2543.75;102.11;319.87;;
8306486;MEGA SMERALDA;14333.29;44740.34;200.1;624.59;;
8306498;MEGA ANDREA;14961.57;46756.55;217.82;680.7;;
8307947;TAHA-Y;302.84;958.15;74.91;237.01;;
8309397;BONTRUP PEARL;3163.34;10071.7;77.54;246.86;;
8311118;ICE RIVER;2403.6;7508.22;78.19;244.26;;
8311120;ICE RUNNER;1944.2;6087.33;75.33;235.85;;
8313702;ARUBA PEARL;1492.24;4699.81;78.35;246.76;;
8315554;IMPALA;1722.78;5506.49;51.49;164.58;;
8317942;COLOR VIKING;869.41;2787.33;132.69;425.42;;
8317954;STENA NAUTICA;6358.7;20385.98;87.56;280.72;;
8320573;MEGA REGINA;5214.43;16327.94;239.54;750.07;;
8401133;MAESTRO SUN;1430.7;4494.3;131.16;412.02;;
8401444;SAILOR;5800.5;18365.28;120.01;379.98;;
8401523;PROFESSOR B;228;721.13;69.77;220.66;;
8405191;MARE DI LEVANTE;3066.47;9728.51;81.1;257.28;;
8408648;ADMIRAL;58.9;184.56;42.96;134.62;;
8413875;MSC GABRIELLA;1168.3;3688.42;85.43;269.71;;
8415794;SEA PATRIS;2935.96;9283.53;75.86;239.87;;
8416308;GNV BLU;260;822.84;206.84;654.61;;
8417118;SAFFET BEY;5648.1;17643.25;68.69;214.56;;
8417625;POLARIS-2;2496.56;7860.1;73.14;230.29;;
8418174;RAUTARUUKKI;2386.92;7531.43;83.16;262.4;;
8418265;MERRY M;68.5;216.63;29.32;92.74;;
8418758;MARYLAND;1980.5;6349.48;50.19;160.91;;
8420787;STAR GRIP;589.7;1841.35;104.61;326.65;;
8420842;WOLIN;7564.84;23837.09;114.53;360.88;;
8420878;WIND STAR;781.19;2504.5;48.97;156.99;;
8420892;MSC CHIARA;712.61;2255.09;126.22;399.44;;
8500484;ANDREAS KALVOS;1938.62;6153.63;50.79;161.23;;
8500630;ATLANTIC LADY;2221;7084.99;123.93;395.32;;
8501464;ULUSOY-5;3066;9568.22;66.94;208.9;;
8501957;GNV ARIES;9468;29944.26;226.94;717.74;;
8502391;PRINCESS SEAWAYS;12306.69;39347.95;147.47;471.51;;
8502406;KING SEAWAYS;14121.09;45114.31;153.88;491.63;;
8502470;ACQUA STELLA;307.25;969.59;42.83;135.15;;
8503503;STEEL;2202.8;6947.86;88.38;278.75;;
8503797;GNV ANTARES;9330;29480.45;234.5;740.96;;
8505836;MSC GIOVANNA;2379.75;7533.53;92.96;294.28;;
8506311;GNV ALLEGRA;5098;16120.56;165.08;522.01;;
8506361;BASHAR ONE TRANSPORT;1958.9;6190.75;97.9;309.38;;
8509375;MSC DENISSE;554.22;1752.3;131.51;415.8;;
8509533;GOGLAND REEFER;1065.44;3371.65;102.08;323.05;;
8509557;NOVIY SVET;1472;4687.62;74.21;236.32;;
8512152;AL ANDALUS EXPRESS;3520.52;10985.45;142.86;445.78;;
8512891;MSC AUGUSTA;940.57;2965.85;70.2;221.35;;
8517580;GOLDEN BIRD;61.6;195.04;41.45;131.25;;
8519710;SILVER SUN;4069.11;12897.57;74.69;236.74;;
8520824;AMADORE;698;2191.63;46.57;146.21;;
8521402;MSC ANNAMARIA;996.88;3148.32;95.29;300.94;;
8601915;AMORELLA;18359;58656.55;152.99;488.8;;
8604345;MED STAR;1395.78;4474.87;221.55;710.3;;
8604711;JAN SNIADECKI;4870.83;15385.94;86.02;271.72;;
8606056;GMT ASTRO;899.96;2840.84;87.14;275.06;;
8606109;HALIM M;262.11;832.77;47.04;149.44;;
8606111;SEREF KURU;102.75;328.81;64.22;205.51;;
8611984;CENK CAR;239.86;760.99;26.88;85.29;;
8616336;BLUE HORIZON;7732.31;24178.58;166.43;520.41;;
8616556;HAWK;5916.57;18440.75;146.18;455.62;;
8618293;MSC VERONIQUE;15886.04;50271.59;204.77;648.01;;
8618358;HUCKLEBERRY FINN;11990;37783.02;128.16;403.85;;
8700280;AMERA;5989.37;19201.92;184.89;592.77;;
8700498;ZHEN HUA 29;110.77;352.51;356.75;1135.3;;
8700723;ISABELLE;2693.5;8487.22;Division by zero!;Division by zero!;;
8700785;WIND SURF;1263.64;4051.23;78.95;253.11;;
8701387;TRANSPORTER;2252.32;7061.75;66.97;209.98;;
8701674;PEARL SEAWAYS;7710.35;24712.22;136.72;438.21;;
8702446;PETAR HEKTOROVIC;1711.16;5485.98;39.87;127.82;;
8703232;TOM SAWYER;13698;43164.17;135.93;428.33;;
8704406;NISSOS RODOS;9374.84;29320.48;164.93;515.84;;
