IMO,Name,Shipe_type,Fuel_conso_kg/nmile,CO2emission_kg/nmile
6703343,EQUALITY,Other ship types,70.25,222.8
7037806,IONIAN STAR,Ro-pax ship,82.04,263.01
7043843,TALOS,Ro-ro ship,57.72,185.05
7128332,SEA WIND,Ro-pax ship,93.47,296.12
7226952,FJARDVAGEN,Ro-ro ship,49.13,157.51
7230599,MARKO POLO,Ro-pax ship,116.24,372.65
7310507,FIDELITY,Other ship types,52.6,166.32
7325095,LAMPEDUSA,Ro-pax ship,111.85,358.58
7346221,SUPERFERRY II,Ro-pax ship,132.45,414.57
7349039,CORSICA MARINA SECONDA,Ro-pax ship,104.84,333.82
7350090,MOBY NIKI,Ro-pax ship,118.43,374.1
7358755,MOBY KISS,Ro-pax ship,127.19,400.63
7360605,MOBY VINCENT,Ro-pax ship,128.55,404.65
7360681,MOBY BABY TWO,Ro-pax ship,112.21,353.09
7361312,MOBY DREA,Ro-pax ship,283.92,890.35
7361324,MOBY OTTA,Ro-pax ship,223.16,698.42
7382378,GIUSEPPE SA,Ro-pax ship,642.32,2051.79
7407324,ELEVATION,Other ship types,102.04,321.9
7422881,YEOMAN BANK,Bulk carrier,93.06,292.7
7426045,KEFALONIA,Ro-pax ship,97.45,308.23
7504598,BADER III,Other ship types,127.19,397.13
7516773,GALAXY,Ro-pax ship,77.88,246.5
7527306,BOI BRANCO,Other ship types,49.36,155.96
7528611,PELAGITIS,Ro-ro ship,114.9,363.09
7529976,GEROITE NA SEVASTOPOL,Ro-ro ship,Division by zero!,Division by zero!
7602089,AF FRANCESCA,Ro-pax ship,153.27,491.38
7602120,AURELIA,Ro-pax ship,158.33,507.6
7615048,DUBROVNIK,Ro-pax ship,115.4,369.99
7615414,MOBY CORSE,Ro-pax ship,142.8,447.78
7622041,ZEIN I,Other ship types,106.46,333.76
7633143,POVL ANKER,Ro-pax ship,141.18,452.63
7633155,ECKERO,Ro-pax ship,92.83,297.6
7633375,SUNNANVIK,Bulk carrier,61.52,195.64
7719430,MOROCCO SUN,Ro-pax ship,107.41,344.36
7724265,IOSIF K,Ro-ro ship,82.91,265.82
7802067,FESTIVO,Ro-ro ship,45.41,145.58
7803190,MOROCCO STAR,Ro-pax ship,147.82,463.59
7803205,KRONPRINS FREDERIK,Ro-pax ship,152.95,490.35
7807744,RIGEL III,Ro-pax ship,138.64,444.05
7814046,KRITI I,Ro-pax ship,181.81,570.63
7814462,WAWEL,Ro-pax ship,130.12,412.39
7825978,PHIVOS,Ro-pax ship,70.76,226.86
7826788,RIGEL II,Ro-pax ship,193.83,621.05
7826790,GNV AZZURRA,Ro-pax ship,186.36,588.91
7826855,URD,Ro-pax ship,77.81,245.32
7826867,STENA GOTHICA,Ro-pax ship,81.14,255.79
7827213,CELESTYAL CRYSTAL,Passenger ship,210.93,660.97
7827225,REGINA BALTICA,Ro-pax ship,151.46,482.69
