Name,Country Name,Latitude,Longitude,Layer,Harbor Type
KEFLAVIK - ICELAND,ICELAND,64,-22.55,PORT - Very Small,Open Roadstead
STRAUMSVIK - ICELAND,ICELAND,64.05,-22.05,PORT - Very Small,Coastal Natural
HAFNARFJORDUR - ICELAND,ICELAND,64.0666666666667,-21.95,PORT - Very Small,Coastal Natural
SKERJAFJORDUR - ICELAND,ICELAND,64.15,-22.0166666666667,PORT - Very Small,Coastal Natural
REYKJAVIK - ICELAND,ICELAND,64.15,-21.9333333333333,PORT - Medium,Coastal Breakwater
GRUNDARTANGI - ICELAND,ICELAND,64.2666666666667,-22,PORT - Medium,Coastal Breakwater
BILDUDALUR - ICELAND,ICELAND,65.6833333333333,-23.6,PORT - Very Small,Coastal Natural
THINGEYRI - ICELAND,ICELAND,65.8833333333333,-23.4833333333333,PORT - Very Small,Coastal Natural
BOLUNGAVIK - ICELAND,ICELAND,66.1666666666667,-23.2333333333333,PORT - Very Small,Coastal Breakwater
ISAFJORDUR - ICELAND,ICELAND,66.0666666666667,-23.1166666666667,PORT - Very Small,Coastal Natural
BLONDUOS - ICELAND,ICELAND,65.6666666666667,-20.3,PORT - Very Small,Open Roadstead
SKAGASTROND - ICELAND,ICELAND,65.8333333333333,-20.3166666666667,PORT - Very Small,Coastal Natural
SAUDARKROKUR - ICELAND,ICELAND,65.75,-19.6666666666667,PORT - Very Small,Coastal Natural
SIGLUFJORHURD - ICELAND,ICELAND,66.15,-18.9166666666667,PORT - Very Small,Coastal Natural
OLAFSFJORDHUR - ICELAND,ICELAND,66.0833333333333,-18.6333333333333,PORT - Very Small,Coastal Natural
DALVIK - ICELAND,ICELAND,65.9833333333333,-18.5166666666667,PORT - Very Small,Coastal Breakwater
AKUREYRI - ICELAND,ICELAND,65.6833333333333,-18.0833333333333,PORT - Very Small,Coastal Natural
HUSAVIK - ICELAND,ICELAND,66.0333333333333,-17.3333333333333,PORT - Very Small,Coastal Natural
KOPASKER - ICELAND,ICELAND,66.2833333333333,-16.45,PORT - Very Small,Coastal Natural
RAUFARHOFN - ICELAND,ICELAND,66.45,-15.9333333333333,PORT - Very Small,Coastal Natural
VOPNAFJORDHUR - ICELAND,ICELAND,65.75,-14.8333333333333,PORT - Very Small,Coastal Natural
SEYDHISFJORDHUR - ICELAND,ICELAND,65.2666666666667,-14,PORT - Small,Coastal Natural
NESKAUPSTADUR - ICELAND,ICELAND,65.15,-13.6833333333333,PORT - Very Small,Coastal Natural
ESKIFJORDHUR - ICELAND,ICELAND,65.0666666666667,-14.0166666666667,PORT - Very Small,Coastal Natural
BUDIR - ICELAND,ICELAND,64.9333333333333,-14.0166666666667,PORT - Very Small,Coastal Natural
DJUPIVOGUR - ICELAND,ICELAND,64.6666666666667,-14.2833333333333,PORT - Very Small,Coastal Natural
HORNABJORDUR - ICELAND,ICELAND,64.25,-15.2333333333333,PORT - Very Small,Coastal Natural
VESTMANNAEYJAR - ICELAND,ICELAND,63.4333333333333,-20.2833333333333,PORT - Small,Coastal Natural
QUTDLEQ - Greenland,Greenland,61.5166666666667,-42.2166666666667,PORT - Very Small,Coastal Natural
KUSANARTOQ - Greenland,Greenland,61.7666666666667,-42.2166666666667,PORT - Small,Coastal Natural
NANORTALIK HAVN - Greenland,Greenland,60.1166666666667,-45.2,PORT - Very Small,Coastal Natural
QAQURTOQ - Greenland,Greenland,60.7166666666667,-46.05,PORT - Very Small,Coastal Natural
NARSAQ - Greenland,Greenland,60.9166666666667,-46.05,PORT - Very Small,Coastal Natural
NARSARSSUAQ - Greenland,Greenland,61.15,-45.4333333333333,PORT - Very Small,Coastal Natural
GRONNEDAL (KANGILINNGUIT) - Greenland,Greenland,61.2333333333333,-48.1,PORT - Very Small,Coastal Natural
PAAMUIT (FREDERIKSHAB) - Greenland,Greenland,62,-49.6666666666667,PORT - Small,Coastal Natural
KANGERLUARSORUSEQ - Greenland,Greenland,63.7,-51.55,PORT - Very Small,Coastal Natural
NUUK - Greenland,Greenland,64.1833333333333,-51.75,PORT - Small,Coastal Natural
MANIITSOQ - Greenland,Greenland,65.4166666666667,-52.9166666666667,PORT - Very Small,Coastal Natural
KANGAMIUT - Greenland,Greenland,65.8166666666667,-53.3,PORT - Very Small,Coastal Natural
SISIMIUT - Greenland,Greenland,66.9166666666667,-53.7,PORT - Small,Coastal Natural
KANGERLUSUAQ - Greenland,Greenland,66.9666666666667,-50.95,PORT - Very Small,Coastal Natural
ATTU - Greenland,Greenland,67.95,-53.7333333333333,PORT - Very Small,Coastal Natural
AASIAAT - Greenland,Greenland,68.7,-52.8666666666667,PORT - Small,Coastal Natural
QASIGIANNGUIT-CHRISTIANSHAB - Greenland,Greenland,68.8166666666667,-51.1833333333333,PORT - Very Small,Coastal Natural
ILLULISSAT (JAKOBSHAVN) - Greenland,Greenland,69.2166666666667,-51.1,PORT - Small,Coastal Natural
QEQERTARSUAQ - Greenland,Greenland,69.2333333333333,-53.5333333333333,PORT - Small,Coastal Natural
NIAQORNAT - Greenland,Greenland,70.8,-53.6666666666667,PORT - Very Small,Open Roadstead
UUMMANNAQ HARBOR - Greenland,Greenland,70.6833333333333,-52.15,PORT - Small,Coastal Natural
KAJALLEQ UPERNAVIK - Greenland,Greenland,72.15,-55.5333333333333,PORT - Very Small,Coastal Natural
UPERNAVIK - Greenland,Greenland,72.7666666666667,-56.15,PORT - Very Small,Coastal Natural
PITUFFIK (THULE AIR BASE) - Greenland,Greenland,76.5333333333333,-68.8666666666667,PORT - Very Small,Coastal Natural
HAMILTON - Canada,Canada,43.25,-79.85,PORT - Medium,Coastal Natural
PORT DALHOUSIE - Canada,Canada,43.2166666666667,-79.2666666666667,PORT - Very Small,Coastal Breakwater
PORT WELLER - Canada,Canada,43.2333333333333,-79.2166666666667,PORT - Small,River Tide Gate
WELLAND - Canada,Canada,43,-79.25,PORT - Small,Lake or Canal
THOROLD - Canada,Canada,43.0833333333333,-79.7166666666667,PORT - Small,Lake or Canal
ST CATHERINE - Canada,Canada,43.1833333333333,-79.2833333333333,PORT - Very Small,Lake or Canal
NIAGARA - Canada,Canada,43.25,-79.0666666666667,PORT - Very Small,River Natural
QUEENSTON - Canada,Canada,43.1666666666667,-79.0666666666667,PORT - Very Small,River Natural
CHAUMONT - United States,United States,44.0666666666667,-76.1333333333333,PORT - Very Small,Coastal Natural
SACKETS HARBOR - United States,United States,43.95,-76.1166666666667,PORT - Very Small,Coastal Natural
OSWEGO - United States,United States,43.4666666666667,-76.5166666666667,PORT - Small,River Natural
SODUS BAY - United States,United States,43.2666666666667,-76.9833333333333,PORT - Very Small,Coastal Natural
ROCHESTER - United States,United States,43.2666666666667,-77.6,PORT - Small,River Natural
YOUNGSTOWN - United States,United States,43.25,-79.05,PORT - Very Small,River Natural
PORT COLBORNE - Canada,Canada,42.8833333333333,-79.25,PORT - Small,Lake or Canal
PORT MAITLAND - Canada,Canada,42.85,-79.5833333333333,PORT - Small,River Basin
PORT DOVER - Canada,Canada,42.7833333333333,-80.2,PORT - Very Small,River Natural
PORT STANLEY - Canada,Canada,42.6666666666667,-81.2,PORT - Very Small,River Natural
