MMSI,Temps de reception,Sog,Cog,Longitude,Latitude,NavigationalStatus
235008440,2023-03-24 08:12:27.293973+00:00,0,357,-5.711033333333333,54.680033333333334,1
244670837,2023-03-24 08:12:27.295409+00:00,0,62.4,5.03365,52.93760666666667,7
219945000,2023-03-24 08:12:27.297227+00:00,16,173.2,12.700899999999999,55.8142,0
205289590,2023-03-24 08:12:27.298608+00:00,0,360,3.8383216666666664,51.27652333333333,5
232012511,2023-03-24 08:12:27.299379+00:00,0,342.8,-1.7739699999999998,57.50342666666666,0
232013231,2023-03-24 08:12:27.382969+00:00,0,29,6.828028333333333,53.45675666666667,0
636019746,2023-03-24 08:12:27.383469+00:00,0,313.4,-16.224565,28.48881,5
224622000,2023-03-24 08:12:27.384014+00:00,0,123.5,-8.669833333333335,42.28986666666666,5
237933900,2023-03-24 08:12:27.385303+00:00,0,0,23.543491666666668,37.95075166666666,0
219002827,2023-03-24 08:12:27.385982+00:00,0,308,10.587306666666667,57.717481666666664,0
2190045,2023-03-24 08:12:27.386839+00:00,0,340.3,8.423413333333334,55.471785,15
211518780,2023-03-24 08:12:27.387319+00:00,4.8,96,10.00772,53.53567833333333,0
232037001,2023-03-24 08:12:27.387791+00:00,0,38.4,-2.9994483333333335,53.43072666666667,0
211224360,2023-03-24 08:12:27.388886+00:00,0,265.3,8.149468333333333,53.51334833333333,5
219024176,2023-03-24 08:12:27.389792+00:00,0,228.5,12.680155000000001,55.592830000000006,0
244652000,2023-03-24 08:12:27.390193+00:00,0,360,5.520309999999999,52.571268333333336,7
263237000,2023-03-24 08:12:27.390461+00:00,3.5,22.6,-9.515575,37.912635,7
538005402,2023-03-24 08:12:27.391078+00:00,11.5,196.3,14.058079999999999,44.677119999999995,0
227592820,2023-03-24 08:12:27.391545+00:00,16.2,78.6,-4.477693333333334,48.29955833333334,15
265514870,2023-03-24 08:12:27.392097+00:00,0,230.2,17.835665,58.801231666666666,0
265530460,2023-03-24 08:12:27.392670+00:00,0,307.5,17.95322666666667,58.900575,0
248291000,2023-03-24 08:12:27.393682+00:00,0,15.4,7.031408333333333,43.54088333333333,0
255806314,2023-03-24 08:12:27.394369+00:00,5.8,94,-3.867,53.50333333333333,0
244780234,2023-03-24 08:12:27.394757+00:00,0,341,3.8266416666666667,51.3226,0
244710298,2023-03-24 08:12:27.470386+00:00,0,360,4.911121666666667,52.37330833333333,0
636016420,2023-03-24 08:12:27.471411+00:00,15.4,229.9,1.0723683333333334,50.860865,0
257111010,2023-03-24 08:12:27.471914+00:00,4.6,30.2,5.269898333333333,60.41287,0
211595460,2023-03-24 08:12:27.472408+00:00,0,112.3,4.849113333333333,52.40708333333334,5
205322000,2023-03-24 08:12:27.472873+00:00,4,44.8,-0.25921833333333333,50.07258,7
235074296,2023-03-24 08:12:27.473426+00:00,0,354,-4.183866666666667,50.38310833333333,15
244140824,2023-03-24 08:12:27.474736+00:00,0,360,4.917878333333333,52.33537,0
211243210,2023-03-24 08:12:27.475942+00:00,7.4,277,8.595536666666668,53.17235166666667,0
264900238,2023-03-24 08:12:27.476977+00:00,0.6,12.9,28.686426666666666,44.103280000000005,0
244660959,2023-03-24 08:12:27.477429+00:00,1.2,87.3,4.761996666666667,51.818268333333336,0
205255190,2023-03-24 08:12:27.478267+00:00,0,215.8,4.64433,51.79596166666667,5
253242387,2023-03-24 08:12:27.478723+00:00,0,333.4,4.610778333333333,51.81023666666667,0
244810664,2023-03-24 08:12:27.479084+00:00,0,360,4.770848333333333,51.76567,5
244974329,2023-03-24 08:12:27.479951+00:00,0,4.8,4.704443333333333,51.8193,0
244690351,2023-03-24 08:12:27.480695+00:00,0,0,5.1082399999999994,52.04642833333333,0
259424000,2023-03-24 08:12:27.481355+00:00,0.2,164.1,-3.0894833333333334,47.34601166666666,3
