MMSI,ImoNumber,Name,Reporting Period,consumption per distance [kg / n mile],CO₂ emissions per distance [kg CO₂ / n mile]
354073000,9294123,PRINCE I,2020,106.72,336.51
636014505,9314882,AMPHITRITE,2021,94.46,299.12
636014505,9314882,AMPHITRITE,2020,110.08,347.07
636014505,9314882,AMPHITRITE,2019,108.87,341.06
311027600,9466130,PEARY SPIRIT,2021,212.99,682.85
311027600,9466130,PEARY SPIRIT,2020,223.9,717.81
311027600,9466130,PEARY SPIRIT,2019,221.68,710.72
215481000,9447299,FT NERVI,2021,57.95,181.52
215481000,9447299,FT NERVI,2020,62.34,195.49
215481000,9447299,FT NERVI,2019,84.96,267.29
477211700,9584243,YANGTZE HAPPINESS,2020,78.94,247.64
477211700,9584243,YANGTZE HAPPINESS,2019,98.28,308.09
255806121,9314947,AS CAMELLIA,2021,114.08,356.79
255806121,9314947,AS CAMELLIA,2020,105.99,331.05
255806121,9314947,AS CAMELLIA,2019,146.17,457.1
636093095,9449833,WARNOW MASTER,2021,118.79,374.15
353105000,9726700,HORIZON HIGHWAY,2021,98.65,310.86
353105000,9726700,HORIZON HIGHWAY,2020,83.82,264.26
353105000,9726700,HORIZON HIGHWAY,2019,104.22,326.91
247439600,9904510,EVER COZY,2021,82.52,257.68
304374000,9328637,FREDERIK,2021,107.21,338.69
304374000,9328637,FREDERIK,2020,88.69,279.94
304374000,9328637,FREDERIK,2019,93.31,296.56
370084000,9765079,NEW FRONTIER 1,2021,59.4,168.7
370084000,9765079,CARDISSA,2020,50.56,140.1
370084000,9765079,CARDISSA,2019,60.2,167.53
255806038,9450337,NORTHERN JUBILEE,2021,286.09,896.06
255806038,9450337,NORTHERN JUBILEE,2020,266.21,830.8
255806038,9450337,NORTHERN JUBILEE,2019,282.61,881.95
636018392,9467586,INDIAN OCEAN,2021,94.95,300.48
636018392,9467586,ORIENT TRAIL,2020,101.19,320.13
636018392,9467586,ORIENT TRAIL,2019,88.27,275.34
319995000,9503990,STAR GLORY,2019,99.31,310.95
256644000,9722651,CMA CGM ARKANSAS,2021,284,889.6
256644000,9722651,CMA CGM ARKANSAS,2020,218.57,690.31
256644000,9722651,CMA CGM ARKANSAS,2019,225.12,703.12
230995000,9348948,MISIDA,2021,104.16,328.5
230995000,9348948,MISIDA,2020,105.68,331.76
230995000,9348948,MISIDA,2019,103.06,321.87
636022809,9237149,AKHISAR,2021,56.98,179.75
636022809,9237149,AKHISAR,2020,56.44,178.05
636022809,9237149,SADAN BAYRAKTAR,2019,53.56,167.15
247057100,9222534,JANAS,2021,214.87,671.28
247057100,9222534,JANAS,2020,206.4,644.87
247057100,9222534,JANAS,2019,219.87,686.56
477665200,9190767,LEXA MAERSK,2021,162.4,506.88
477665200,9190767,LEXA MAERSK,2020,182.13,569.33
477665200,9190767,LEXA MAERSK,2019,174.02,545.48
371963000,9584592,RR AUSTRALIA,2019,156.87,490.48
533130869,9795074,EAGLE BINTULU,2021,143.57,438.16
533130869,9795074,EAGLE BINTULU,2020,153.44,468.01
533130869,9795074,EAGLE BINTULU,2019,144.15,433.17
636014194,9413573,NS AFRICA,2021,180.85,572.64
636014194,9413573,NS AFRICA,2020,158.42,500.2
636014194,9413573,NS AFRICA,2019,275.06,858.06
220496000,9321512,EVELYN MAERSK,2021,344.37,1072.57
220496000,9321512,EVELYN MAERSK,2020,308.49,962.3
220496000,9321512,EVELYN MAERSK,2019,327.65,1020.79
538009082,9448281,UBC CARTAGENA,2021,54.42,172.78
538009082,9448281,UBC CARTAGENA,2020,53,168.14
538009082,9448281,UBC CARTAGENA,2019,50.68,161.18
210231000,7907659,STENA VISION,2021,167.82,530.6
210231000,7907659,STENA VISION,2020,162.78,512.92
210231000,7907659,STENA VISION,2019,170.5,537.3
354149000,9445394,G POSEIDON,2019,147.66,461.03
255804940,9183843,THEMSESTERN,2021,96.26,308.6
255804940,9183843,THEMSESTERN,2020,89.64,287.38
255804940,9183843,THEMSESTERN,2019,87.95,277.31
311037300,9551363,CONDOR LIBERATION,2021,139.3,446.63
311037300,9551363,CONDOR LIBERATION,2020,163.63,524.61
311037300,9551363,CONDOR LIBERATION,2019,154.36,494.87
538004630,9593359,ARAMIS,2020,79.39,250.64
538004630,9593359,ARAMIS,2019,96.3,300.34
225424000,9443762,CRISTINA MASAVEU,2021,69.73,223.55
225424000,9443762,CRISTINA MASAVEU,2020,71.26,228.45
225424000,9443762,CRISTINA MASAVEU,2019,73.13,234.47
249437000,9447043,HULIN,2021,65.05,208.55
249437000,9447043,HULIN,2020,73.61,236
249437000,9447043,HULIN,2019,68.28,216.16
372078000,9836880,COOL EXPLORER,2021,148.48,462.62
372078000,9836880,COOL EXPLORER,2020,139.75,435.37
372078000,9836880,COOL EXPLORER,2019,131.31,409.02
538008975,9615327,SSI MARVELOUS,2021,59.16,185.1
538008975,9615327,SSI MARVELOUS,2020,76.63,242.64
538008975,9615327,BRIGHT OCEAN III,2019,84.54,264.2
432665000,9442885,ADRIATIC HIGHWAY,2021,105.21,329.27
432665000,9442885,ADRIATIC HIGHWAY,2020,111.95,350.38
248655000,9745550,CMA CGM LOUGA,2021,114.19,355.69
248655000,9745550,CMA CGM LOUGA,2020,108.29,337.58
248655000,9745550,CMA CGM LOUGA,2019,109.69,341.79
249618000,9674933,STELLINA,2021,71.91,227.16
249618000,9674933,ELAZIZ,2020,68.87,215.43
249618000,9674933,ELAZIZ,2019,70.5,220.35
219274000,9854789,TORM SUBLIME,2021,81.86,255.14
219274000,9854789,TORM SUBLIME,2020,74.36,232.01
219274000,9854789,TORM SUBLIME,2019,Division by zero!,Division by zero!
247616000,7360681,MOBY BABY TWO,2021,112.21,353.09
247616000,7360681,MOBY BABY TWO,2020,111.93,352.12
247616000,7360681,MOBY BABY TWO,2019,96.96,304.48
215910000,9448310,CLOTILDE,2021,102.87,324.43
215910000,9448310,NORD BUTTERFLY,2020,103.16,327.24
215910000,9448310,NORD BUTTERFLY,2019,99.8,314.86
636019492,9853400,AURVIKEN,2021,139.49,436.8
636019492,9853400,AURVIKEN,2020,128.36,402.9
209467000,9483671,X-PRESS AGILITY,2021,87.74,276.02
209467000,9483671,X-PRESS AGILITY,2020,85.18,266.46
209467000,9483671,X-PRESS AGILITY,2019,76.24,243.39
259402000,9144093,BASTØ II,2021,32.74,104.95
232001580,9051284,CALEDONIAN ISLES,2020,65.98,211.54
232001580,9051284,CALEDONIAN ISLES,2019,66.82,214.21
273386260,9014872,TAMBEY,2019,48.45,151.52
563092400,9833589,STI MAVERICK,2021,87.95,275.71
563092400,9833589,MARLIN MAVERICK,2020,85.63,267.57
563092400,9833589,MARLIN MAVERICK,2019,96.15,300.32
255803201,9301483,MSC PARIS,2021,327.05,1018.43
255803201,9301483,MSC PARIS,2020,299.87,933.8
255803201,9301483,MSC PARIS,2019,354.45,1104.81
548954000,9771482,BRIGHTEN TRADER,2021,77.08,244.03
548954000,9771482,BRIGHTEN TRADER,2020,69.39,216.65
636017000,9293167,MSC RONIT R,2021,260.15,822.98
636017000,9293167,MSC RONIT R,2020,257.05,812.67
230957000,9267560,SUULA,2021,68.98,221.14
230957000,9267560,SUULA,2020,66.04,211.73
230957000,9267560,SUULA,2019,69.06,221.41
247425500,9372872,BURGUNDY,2021,159.4,501.17
247425500,9372872,BURGUNDY,2020,169.47,529.16
247425500,9372872,BURGUNDY,2019,189.98,596.35
477694300,9626053,BARCELONA EXPRESS,2021,154.88,485.13
477694300,9626053,BARCELONA EXPRESS,2020,155.02,486.04
477694300,9626053,BARCELONA EXPRESS,2019,162.36,507.77
209361000,9436214,SAMSKIP INNOVATOR,2021,73.12,230.4
209361000,9436214,SAMSKIP INNOVATOR,2020,75.81,239.29
209361000,9436214,SAMSKIP INNOVATOR,2019,76.8,242.49
311000360,9734408,LYRIC MAGNOLIA,2021,115.13,361.13
311000360,9734408,LYRIC MAGNOLIA,2020,120.49,376.2
311000360,9734408,LYRIC MAGNOLIA,2019,119.83,375.49
477269300,9795634,COSCO SHIPPING GALAXY,2021,310.96,972.66
477269300,9795634,COSCO SHIPPING GALAXY,2020,273.74,854.78
477269300,9795634,COSCO SHIPPING GALAXY,2019,279.18,871.71
249948000,9724348,PARTHENON TS,2021,137.33,434.06
249948000,9724348,PARTHENON TS,2020,125.7,396.57
249948000,9724348,PARTHENON TS,2019,144.18,454.38
305655000,9351153,SONREIRAS,2021,32.73,104.06
305655000,9351153,SONREIRAS,2020,45.75,144.83
636022086,9311634,SAWTOOTH,2021,57.67,180.64
636022086,9311634,SAWTOOTH,2019,81.77,257.48
303270000,9435909,OVERSEAS SANTORINI,2021,99.23,310.74
303270000,9435909,OVERSEAS SANTORINI,2020,106.44,332.78
303270000,9435909,OVERSEAS SANTORINI,2019,120.41,377.03
259372000,9118496,CHRISTINA,2021,45.81,146.86
259372000,9118496,CHRISTINA,2020,48.24,154
259372000,9118496,CHRISTINA,2019,54.02,170.51
538009598,9392781,ATLANTIC PISCES,2020,94.82,299.64
255806352,9323467,JSP ROVER,2021,72.03,229.46
