Name,date,MMSI,CallSign,ImoNumber ,Destination,Eta mois,Eta day,Eta hour,Eta minutes,Type of vessel,DimensionA,DimensionB,DimensionC,DimensionD
COLMAR,2023-03-24 08:12:27.294809+00:00,211557960,P,0,BEOGRAD,3,4,21,0,90,229,26,22,0
SOUND OF SOAY,2023-03-24 08:12:27.382357+00:00,235101063,2GWI3 ,9665229,HUNTERS QUAY+MCPOINT,10,4,10,0,60,26,24,11,4
RUSADIR,2023-03-24 08:12:27.384513+00:00,210329000,5BWW5,9832119,GDYNIA,5,11,0,0,69,61,126,10,21
RUSADIR,2023-03-24 08:12:27.384903+00:00,210329000,5BWW5,9832119,GDYNIA,5,11,0,0,69,61,126,10,21
SPN 19,2023-03-24 08:12:27.388468+00:00,205437190,OT4371,0,ANTWERPEN,0,0,24,60,99,7,12,3,3
BRU-14 LUCTOR ET ...,2023-03-24 08:12:27.475503+00:00,245336000,PEAG   ,8952869,WADDENZEE           ,3,23,7,30,30,27,9,7,1
PANERA,2023-03-24 08:12:27.476625+00:00,244790535,PA4729,0,@@ISBPE],3,24,7,34,80,125,10,5,7
ALIZE,2023-03-24 08:12:27.479520+00:00,253242499,LX2499,0,ROZENBURG,3,21,23,26,80,100,10,7,5
FIVELBORG,2023-03-24 08:12:27.482212+00:00,245466000,PCEL,9419307,CAVLF,4,7,12,0,70,144,10,8,8
FIVELBORG,2023-03-24 08:12:27.482691+00:00,245466000,PCEL,9419307,CAVLF,4,7,12,0,70,144,10,8,8
ZEN,2023-03-24 08:12:27.483701+00:00,240081400,SVA8187,0,ZEA,1,1,0,0,37,13,14,4,3
RIJNWERKEN,2023-03-24 08:12:27.507046+00:00,244700617,PG4538,0, _  _  ,0,0,24,60,0,5,11,3,3
BONA  SPES 2,2023-03-24 08:12:27.507838+00:00,244690728,PF2791,0,OUDEWETERING,3,6,13,9,52,21,15,2,3
LOTUS               ,2023-03-24 08:12:27.509278+00:00,319414000,ZCOC6  ,0,FR TLN              ,11,14,8,0,37,22,16,4,4
ENERGY DUCHESS      ,2023-03-24 08:12:27.510383+00:00,259032000,LFZG   ,9740744,ROTTERDAM           ,3,22,23,59,90,21,63,8,10
ENERGY DUCHESS      ,2023-03-24 08:12:27.516215+00:00,259032000,LFZG   ,9740744,ROTTERDAM           ,3,22,23,59,90,21,63,8,10
ENERGY DUCHESS      ,2023-03-24 08:12:27.516981+00:00,259032000,LFZG   ,9740744,ROTTERDAM           ,3,22,23,59,90,21,63,8,10
ENERGY DUCHESS      ,2023-03-24 08:12:27.517599+00:00,259032000,LFZG   ,9740744,ROTTERDAM           ,3,22,23,59,90,21,63,8,10
ENERGY DUCHESS      ,2023-03-24 08:12:27.557426+00:00,259032000,LFZG   ,9740744,ROTTERDAM           ,3,22,23,59,90,21,63,8,10
EDT ZENON           ,2023-03-24 08:12:27.587875+00:00,212541000,5BLV2  ,9315977,LIMASSOL            ,3,18,11,0,52,7,21,2,7
KING VICTOR         ,2023-03-24 08:12:27.588233+00:00,671436000,5VCN2  ,8913057,ROCND               ,3,4,21,30,79,87,16,8,8
ENERGY DUCHESS      ,2023-03-24 08:12:27.589210+00:00,259032000,LFZG   ,9740744,ROTTERDAM           ,3,22,23,59,90,21,63,8,10
ENERGY DUCHESS      ,2023-03-24 08:12:27.589374+00:00,259032000,LFZG   ,9740744,ROTTERDAM           ,3,22,23,59,90,21,63,8,10
USIBA               ,2023-03-24 08:12:27.592630+00:00,601366500,ZS 2525,0,,0,0,24,60,50,16,15,5,6
